 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Gerald Everett,22,,LAR,TE,24,16,0,0,0,0,0,0,2,16,0,50,33,320,3,54,89.6,70.1
Jesse James,21,,PIT,TE,24,16,7,0,0,0,0,0,0,0,0,39,30,423,2,54,87.3,69.3
Greg Olsen,23,,CAR,TE,33,9,9,0,0,0,0,0,0,0,0,38,27,291,4,53,83.1,66.6
Aldrick Robinson,84,,MIN,WR,30,14,0,0,0,0,0,0,0,0,0,35,17,231,5,53,73.1,61.6
Demarcus Robinson,85,,KAN,WR,24,16,5,0,0,0,0,0,0,0,0,33,22,288,4,53,77.8,63.8
Ben Watson,24,,NOR,TE,38,16,4,0,0,0,0,0,0,0,0,46,35,400,2,52,90.0,69.5
Keelan Cole,87,,JAX,WR,25,16,11,0,0,0,0,0,0,0,0,70,38,491,1,51,94.1,70.1
Vernon Davis,25,,WAS,TE,34,14,8,0,0,0,0,0,0,0,0,36,25,367,2,51,78.7,63.2
Jakeem Grant,86,,MIA,WR,26,10,2,0,0,0,0,0,1,5,0,34,21,268,2,51,75.3,61.8
Taywan Taylor,88,,TEN,WR,23,13,5,0,0,0,0,0,0,0,0,56,37,466,1,51,91.6,69.1
Chris Thompson,66,,WAS,RB,28,10,0,0,0,0,0,0,43,178,0,55,41,268,1,51,97.6,71.1
Devontae Booker,68,,DEN,RB,26,16,0,0,0,0,0,0,34,183,1,51,38,275,0,50,94.8,68.8
Phillip Dorsett,89,,NWE,WR,25,16,2,0,0,0,0,0,4,29,0,42,32,290,3,50,84.9,65.9
Josh Johnson,39,,WAS,QB,32,4,3,52,91,590,3,4,23,120,1,0,0,0,0,50,59.6,53.6
Zach Zenner,67,,DET,RB,27,8,1,0,0,0,0,0,55,265,3,10,7,56,0,50,60.1,53.6
Quincy Enunwa,90,,NYJ,WR,26,11,10,0,0,0,0,0,1,0,0,68,38,449,1,49,90.9,67.9
Blake Jarwin,26,,DAL,TE,24,16,4,0,0,0,0,0,0,0,0,36,27,307,3,49,78.7,62.2
Bilal Powell,69,,NYJ,RB,30,7,7,0,0,0,0,0,80,343,0,18,11,110,1,49,67.3,54.8
Randall Cobb,92,,GNB,WR,28,9,6,0,0,0,0,0,0,0,0,61,38,383,2,48,90.3,67.3
Kenneth Dixon,70,,BAL,RB,24,6,0,0,0,0,0,0,60,333,2,7,6,51,0,48,58.4,51.4
Jimmy Garoppolo,40,,SFO,QB,27,3,3,53,89,718,5,3,8,33,0,0,0,0,0,48,54.0,51.0
